,product_name,product_image,product_price
0,Quần sooc HT 2 ly,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220826/CC_000845__1__thumb.jpg,"309,000đ"
1,Sơ mi suông thép tay,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220901/DSC_8740_thumb.jpg,"289,000đ"
2,Áo thun trễ vai tay dài,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220826/CC_001343_thumb.jpg,"199,000đ"
3,Áo cổ V can vai tay TT,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220901/DSC_8222_thumb.jpg,"279,000đ"
4,Quần suông 2 ly lật dây rút,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220826/CC_001405_thumb.jpg,Liên hệ
5,Quần short cạp phối ly bung,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220826/CC_001286_thumb.jpg,"340,000đ"
6,Áo 2 dây thun không đệm,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220816/0C8A3597_thumb.jpg,"119,000đ"
7,Áo quây có đệm ngắn,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220824/CC_000767_thumb.jpg,"199,000đ"
8,Áo quây trơn không đệm,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220824/CCO_000844_1_thumb.jpg,"89,000đ"
9,Áo thun sát nách dáng ôm,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220818/DSC_5447_thumb.jpg,Liên hệ
10,Quần suông 2 ly đỉa kiểu,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220901/DSC_8465_thumb.jpg,"470,000đ"
11,Quần sooc HT da báo cạp liền,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220901/DSC_8281_thumb.jpg,"350,000đ"
12,Áo thun cổ tròn bổ trụ nẹp TT,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220826/CC_001403_thumb.jpg,"289,000đ"
13,Áo nỉ tay raglan,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220826/CC_001557_thumb.jpg,"359,000đ"
14,Chân váy chiết ly dáng xòe,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220901/DSC_8404_thumb.jpg,"520,000đ"
15,Chân váy ly trước liền cạp,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220826/CC_001213_thumb.jpg,"320,000đ"
16,Chân váy cạp kiểu xòe,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220901/DSC_8368_thumb.jpg,Liên hệ
17,Jump sát nách cổ ve kiểu,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220826/CC_000920__1__thumb.jpg,"599,000đ"
18,Quần short cạp chun kiểu lơ vê,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220813/12TNC8006OT__1_thumb.jpg,"309,000đ"
19,Áo thun tay cộc gắn tag hạt,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220826/CC_001286_thumb.jpg,"160,000đ"
20,Quần suông tà bung cài lệch,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220818/DSC_5571_thumb.jpg,"430,000đ"
21,Quần kiểu chun cạp HT kẻ,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220901/DSC_8222_thumb.jpg,"469,000đ"
22,Set áo blazer váy sát nách,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220901/DSC_8007_thumb.jpg,"839,000đ"
